test,test_name,scale,domain,subdomain,narrow,pass,verbal,timed,score_type,test_type,description
abas3_parent,ABAS-3 Parent,Communication,Adaptive Functioning,Conceptual,Communication,NA,NA,NA,scaled_score,rating_scale,"Communication skills (including speech, listening, conversation, and nonverbal communication)"
abas3_parent,ABAS-3 Parent,Community Use,Adaptive Functioning,Practical,Community Use,NA,NA,NA,scaled_score,rating_scale,A child's ability to function in the community and to express knowledge of and interest in activities outside the home
abas3_parent,ABAS-3 Parent,Conceptual Skills Index,Adaptive Functioning,Conceptual,Conceptual Skills Index,NA,NA,NA,standard_score,rating_scale,"Conceptual skills's involve the ability to use language, reason, and solve problems"
abas3_parent,ABAS-3 Parent,Functional Pre-Academics,Adaptive Functioning,Conceptual,Functional Pre-Academics,NA,NA,NA,scaled_score,rating_scale,"Functional pre-academics (performing basic pre-academic skills that form the foundations of higher-level reading, writing, and mathematics)"
abas3_parent,ABAS-3 Parent,General Adaptive Composite (GAC),Adaptive Functioning,General Adaptive Functioning,General Adaptive Index,NA,NA,NA,standard_score,rating_scale,The patient's current overall level of adaptive behavior
abas3_parent,ABAS-3 Parent,Health and Safety,Adaptive Functioning,Practical,Health and Safety,NA,NA,NA,scaled_score,rating_scale,Their ability to address personal and health needs
abas3_parent,ABAS-3 Parent,Home Living,Adaptive Functioning,Practical,Home Living,NA,NA,NA,scaled_score,rating_scale,"Their level of functioning inside the home, including helping adults with household chores and taking care of personal possessions"
abas3_parent,ABAS-3 Parent,Leisure,Adaptive Functioning,Social,Leisure,NA,NA,NA,scaled_score,rating_scale,"Leisure skills: the capacity to use free time during the school day productively or interactively, and the capacity to engage in play and recreational activities for fun"
abas3_parent,ABAS-3 Parent,Motor,Adaptive Functioning,Motor,Motor,NA,NA,NA,scaled_score,rating_scale,An assessment of their age-appropriate motor skills
abas3_parent,ABAS-3 Parent,Practical Skills Index,Adaptive Functioning,Practical,Practical Skills Index,NA,NA,NA,standard_score,rating_scale,"The patient's score on the Practical skills composite, which involves the ability to take care of oneself, manage money, and get around in the community"
abas3_parent,ABAS-3 Parent,Self-Care,Adaptive Functioning,Practical,Self-Care,NA,NA,NA,scaled_score,rating_scale,"Their ability to perform self-care activities such as eating, dressing, and taking care of personal hygiene"
abas3_parent,ABAS-3 Parent,Self-Direction,Adaptive Functioning,Conceptual,Self-Direction,NA,NA,NA,scaled_score,rating_scale,"Self-direction skills (e.g., the ability to make independent choices, exhibit self-control, and take responsibility when appropriate)"
abas3_parent,ABAS-3 Parent,Social,Adaptive Functioning,Social,Social,NA,NA,NA,scaled_score,rating_scale,"Social was a strength; may have difficulty interacting socially, initiating and maintaining friendships, and expressing and recognizing emotions"
abas3_parent,ABAS-3 Parent,Social Index,Adaptive Functioning,Social,Social Index,NA,NA,NA,standard_score,rating_scale,The ability to interact with others (both peers and adults) in a positive and productive way
bai,BAI,BAI Total Score,Behavioral/Emotional/Social,Anxiety,Anxiety,NA,NA,NA,t_score,rating_scale,"A brief, self-report assessment for measuring anxiety severity and level"
basc3_prs_adolescent,BASC-3 PRS Adolescent,Activities of Daily Living,Behavioral/Emotional/Social,Adaptive Skills,Adaptive,NA,NA,NA,t_score,rating_scale,able to adequately perform simple daily tasks in a safe and efficient manner (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Adaptability,Behavioral/Emotional/Social,Adaptive Skills,Personality,NA,NA,NA,t_score,rating_scale,adaptation to most situations and able to quickly recover from situations that are difficult (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Adaptive Skills,Behavioral/Emotional/Social,Adaptive Skills,Adaptive,NA,NA,NA,t_score,rating_scale,Adaptive Skills composite scale (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Aggression,Behavioral/Emotional/Social,Externalizing Problems,Antisocial,NA,NA,NA,t_score,rating_scale,acting aggressively (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Anxiety,Behavioral/Emotional/Social,Internalizing Problems,Mood,NA,NA,NA,t_score,rating_scale,anxiety-based behaviors (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Attention Problems,Behavioral/Emotional/Social,Behavioral Symptoms Index,ADHD,NA,NA,NA,t_score,rating_scale,maintain necessary levels of attention (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Atypicality,Behavioral/Emotional/Social,Behavioral Symptoms Index,ASD,NA,NA,NA,t_score,rating_scale,"demonstration of clear, logical thought patterns and a general awareness of surroundings (parent rated)"
basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral Symptoms Index,Behavioral/Emotional/Social,Behavioral Symptoms Index,Emotional,NA,NA,NA,t_score,rating_scale,Behavioral Symptoms Index composite scale (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Conduct Problems,Behavioral/Emotional/Social,Externalizing Problems,Antisocial,NA,NA,NA,t_score,rating_scale,rule-breaking behavior (parent rated)
